,Tourist Place,Location,Country,HistoricalSignificance,NaturalBeauty,AdventureActivities,Accessibility,Shopping,Nightlife,WaterSports,WildlifeViewing,ScubaDiving,Type,Url
105,Troy Ancient City, Canakkale          ,Turkey,High,Low,Low,Medium,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297979-d324415-Reviews-Troy_Truva-Canakkale_Canakkale_Province_Turkish_Aegean_Coast.html
106,Basilica Cistern, Istanbul           ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g293974-d294555-Reviews-Basilica_Cistern-Istanbul.html
107,Butterfly Valley, Fethiye            ,Turkey,Low,High,High,Medium,No,No,No,Yes,No,Historical,https://www.tripadvisor.com/Attraction_Review-g298031-d552742-Reviews-Butterfly_Valley-Fethiye_Mugla_Province_Turkish_Aegean_Coast.html
108,Sumela Monastery, Trabzon            ,Turkey,High,High,High,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g298039-d553486-Reviews-Sumela_Monastery-Trabzon_Ortahisar_Turkish_Black_Sea_Coast.html
109,Grand Bazaar, Istanbul           ,Turkey,High,Low,High,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g293974-d19466876-Reviews-Grand_Bazaar-Istanbul.html
110,Uludag Ski Center, Bursa              ,Turkey,High,High,High,Medium,Yes,Yes,No,Yes,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297977-d6779125-Reviews-Uludag_Ski_Center-Bursa.html
111,Aspendos Theater, Antalya            ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297963-d548067-Reviews-Aspendos_Ruins-Serik_Serik_District_Turkish_Mediterranean_Coast.html
112,Derinkuyu Underground City, Nevsehir          ,Turkey,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g1972040-d300129-Reviews-Derinkuyu_Underground_City-Derinkuyu_Cappadocia.html
113,Antalya Aquarium, Antalya            ,Turkey,Low,Low,Low,High,Yes,Yes,Yes,Yes,Yes,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g297962-d3514721-Reviews-Antalya_Aquarium-Antalya_Turkish_Mediterranean_Coast.html
114,Mount Olympos, Antalya            ,Turkey,Low,High,High,Medium,Yes,Yes,No,Yes,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g311312-d526292-Reviews-Mt_Olympos_Tahtali_Dag-Cirali_Olympos_Turkish_Mediterranean_Coast.html
115,Ani Ancient City, Kars               ,Turkey,High,Low,Low,Low,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g298011-d1087678-Reviews-Ani_Antik_Kenti-Kars.html
116,Dolmabahce Palace, Istanbul           ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g293974-d294667-Reviews-Dolmabahce_Palace-Istanbul.html
117,Mount Hasan, Aksaray            ,Turkey,High,High,High,Medium,No,No,No,Yes,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g297982-d4060067-Reviews-Hasan_Dagi-Aksaray_Aksaray_Province.html
118,Pigeon Valley, Nevsehir          ,Turkey,Low,High,High,Medium,No,No,No,Yes,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297983-d550580-Reviews-Pigeon_Valley-Goreme_Cappadocia.html
119,Temple of Artemis, Izmir              ,Turkey,High,Low,Low,Medium,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g293976-d318896-Reviews-The_Temple_of_Artemis-Selcuk_Izmir_Province_Turkish_Aegean_Coast.html
120,Mount Suphan, Bitlis             ,Turkey,High,High,High,Low,No,No,No,Yes,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g3526816-d1811962-Reviews-Mount_Suphan-Adilcevaz_Bitlis_Province.html
121,Maiden's Tower, Istanbul           ,Turkey,Medium,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g293974-d307894-Reviews-KIz_Kulesi-Istanbul.html
122,Bursa Grand Mosque, Bursa              ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297977-d307851-Reviews-The_Great_Mosque-Bursa.html
123,Olympos Ancient City, Antalya            ,Turkey,High,Low,Low,Medium,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g311311-d297057-Reviews-Olympos_Archeological_Site-Olympos_Turkish_Mediterranean_Coast.html
124,Mount Tahtali, Antalya            ,Turkey,Low,High,High,Medium,Yes,Yes,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g297966-d6981579-Reviews-TahtalI_Dagi-Kemer_Turkish_Mediterranean_Coast.html
125,Zeugma Mosaic Museum, Gaziantep          ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297998-d2368196-Reviews-Zeugma_Mosaic_Museum-Gaziantep_Gaziantep_Province.html
126,Istanbul Archaeological Museums, Istanbul         ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g293974-d294552-Reviews-Istanbul_Archaeological_Museum-Istanbul.html
127,Patara Beach, Antalya            ,Turkey,Low,High,High,High,Yes,Yes,Yes,Yes,Yes,Historical,https://www.tripadvisor.com/Attraction_Review-g298657-d294632-Reviews-Patara_Beach-Patara_Turkish_Mediterranean_Coast.html
128,Sardis Ancient City, Manisa             ,Turkey,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g1006502-d3522093-Reviews-Sardis_Sardes-Salihli_Manisa_Province.html
129,Alanya Castle, Antalya            ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297961-d1028434-Reviews-Alanya_Kalesi-Alanya_Turkish_Mediterranean_Coast.html
130,Goreme National Park, NevÅŸehir          ,Turkey,High,High,High,Medium,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297983-d324392-Reviews-Goreme_National_Park-Goreme_Cappadocia.html
131,Termessos, Antalya            ,Turkey,High,High,High,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297962-d548021-Reviews-Termessos-Antalya_Turkish_Mediterranean_Coast.html
132,Manavgat Waterfall, Antalya            ,Turkey,Low,High,Low,High,Yes,Yes,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g297967-d553853-Reviews-Manavgat_Waterfall-Manavgat_Turkish_Mediterranean_Coast.html
133,Anavarza Ancient City, Adana              ,Turkey,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297955-d3611186-Reviews-Anavarza_Ruins-Adana_Turkish_Mediterranean_Coast.html
134,Amasra, BartÄ±n             ,Turkey,High,High,Low,Medium,Yes,Yes,Yes,Yes,Yes,Historical,https://www.tripadvisor.com/Tourism-g673823-Amasra_Bartin_Province_Turkish_Black_Sea_Coast-Vacations.html
135,Mount Erciyes, Kayseri            ,Turkey,High,High,High,Medium,No,No,No,Yes,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297984-d300619-Reviews-Mount_Erciyes-Kayseri_Kayseri_Province.html
136,Troy Museum, Canakkale          ,Turkey,High,Low,Low,Medium,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297979-d15350479-Reviews-Troya_Muzesi-Canakkale_Canakkale_Province_Turkish_Aegean_Coast.html
137,Selimiye Mosque, Edirne             ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g652369-d2701429-Reviews-Selimiye_Mosque-Edirne_Edirne_Province.html
138,Gobekli Tepe, ÅžanlÄ±urfa         ,Turkey,High,Low,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g652373-d14803056-Reviews-Potbelly_Hill-Sanliurfa_Sanliurfa_Province.html
139,Saklikent Gorge, Antalya            ,Turkey,Low,High,High,Medium,Yes,Yes,Yes,Yes,Yes,Historical,https://www.tripadvisor.com/Attraction_Review-g298031-d552748-Reviews-Saklikent_Milli_Parki-Fethiye_Mugla_Province_Turkish_Aegean_Coast.html
140,Anitkabir, Ankara             ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g298656-d294558-Reviews-Anitkabir-Ankara.html
141,Ihlara Valley, Aksaray            ,Turkey,High,High,High,Medium,No,No,No,Yes,No,Historical,https://www.tripadvisor.com/Attraction_Review-g1069617-d554011-Reviews-Ihlara_Valley-Guzelyurt_Cappadocia.html
142,Lake Van, Van                ,Turkey,Low,High,High,Medium,Yes,Yes,Yes,Yes,No,Historical,https://www.tripadvisor.com/Attraction_Review-g298041-d298928-Reviews-Lake_Van-Van.html
143,Duden Waterfalls, Antalya            ,Turkey,Low,High,Medium,High,Yes,Yes,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g297962-d549674-Reviews-Lower_Duden_Waterfalls-Antalya_Turkish_Mediterranean_Coast.html
144,Antalya Old Town, Antalya            ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297962-d295913-Reviews-Kaleici-Antalya_Turkish_Mediterranean_Coast.html
145,Alacati, Izmir              ,Turkey,Low,Low,High,High,Yes,Yes,Yes,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g1024116-d12995030-Reviews-Alacati_Yel_Degirmenleri_Parki-Alacati_Cesme_Izmir_Province_Turkish_Aegean_Coas.html
146,Princes' Islands, Istanbul           ,Turkey,Medium,High,High,High,Yes,Yes,No,Yes,No,Historical,https://www.tripadvisor.com/Attraction_Review-g293974-d4288286-Reviews-Princes_Islands-Istanbul.html
147,Temple of Apollo, Didim              ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g1182247-d3510013-Reviews-Temple_of_Apollo-Didim_Turkish_Aegean_Coast.html
148,Damlatas Caves, Alanya             ,Turkey,Low,Low,Medium,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g297961-d554439-Reviews-Damlatas_Caves-Alanya_Turkish_Mediterranean_Coast.html
149,Spice Bazaar, Istanbul           ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g293974-d294546-Reviews-Misir_Carsisi_Spice_Market-Istanbul.html
150,Chora Church, Istanbul           ,Turkey,High,Low,Low,High,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g293974-d294668-Reviews-Chora_Museum-Istanbul.html
151,Miniaturk, Istanbul           ,Turkey,Medium,Low,Low,High,Yes,Yes,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g293974-d548916-Reviews-Miniaturk-Istanbul.html
152,Rahmi M. Koc Museum, Istanbul           ,Turkey,Medium,Low,Low,High,No,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g293974-d549828-Reviews-Rahmi_M_Koc_Museum-Istanbul.html
153,Suleymaniye Mosque, Istanbul           ,Turkey,High,Low,Low,High,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g293974-d296037-Reviews-Suleymaniye_Mosque-Istanbul.html
154,Istiklal Avenue, Istanbul           ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g293974-d295195-Reviews-Istiklal_Caddesi-Istanbul.html
155,Pierre Loti Hill, Istanbul           ,Turkey,Low,High,Low,Medium,No,Yes,No,Yes,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g293974-d3511511-Reviews-Pierre_Loti_Tepesi-Istanbul.html
156,Pera Museum, Istanbul           ,Turkey,Medium,Low,Low,High,Yes,Yes,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g293974-d3539275-Reviews-Pera_Museum-Istanbul.html
157,Bosphorus Cruise, Istanbul           ,Turkey,Medium,High,Low,High,No,Yes,Yes,Yes,No,Entertainment,https://www.tripadvisor.com/Attraction_Review-g293974-d295190-Reviews-Bosphorus_Cruise-Istanbul.html
158,Galata Tower, Istanbul           ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g293974-d295194-Reviews-Galata_Tower-Istanbul.html
159,Dolmabahce Clock Tower, Istanbul           ,Turkey,Medium,Low,Low,High,Yes,Yes,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g293974-d8649364-Reviews-Clock_Tower_Dolmabahce-Istanbul.html
160,Eminonu Square, Istanbul           ,Turkey,High,Low,Low,High,Yes,Yes,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g293974-d2276148-Reviews-Eminonu_Square-Istanbul.html
161,Grand Palace,Bangkok,Thailand,High,No,Low,High,Yes,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g293916-d317603-Reviews-The_Grand_Palace-Bangkok.html
162,Ayutthaya Historical Park,Ayutthaya,Thailand,High,No,Medium,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g303897-d549787-Reviews-Historic_City_of_Ayutthaya-Ayutthaya_Ayutthaya_Province.html
163,Doi Suthep Temple,Chiang Mai,Thailand,Medium,Yes,Medium,Medium,No,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g8286767-d456320-Reviews-Wat_Phra_That_Doi_Suthep-Doi_Suthep.html
164,Erawan Waterfall,Kanchanaburi,Thailand,Low,Yes,High,Medium,No,No,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g1641692-d1840276-Reviews-Erawan_Waterfalls-Erawan_National_Park_Kanchanaburi_Province.html
165,Phang Nga Bay,Phuket,Thailand,Low,Yes,Medium,High,No,No,Yes,No,Yes,Coastal,https://www.tripadvisor.com/Tourism-g303917-Phang_Nga_Phang_Nga_Province-Vacations.html
166,Similan Islands,Phang Nga,Thailand,Low,Yes,High,Medium,No,Yes,Yes,Yes,Yes,Coastal,https://www.tripadvisor.com/Attraction_Review-g303917-d1739977-Reviews-Similan_Islands-Phang_Nga_Phang_Nga_Province.html
167,Railay Beach,Krabi,Thailand,Low,Yes,High,Medium,Yes,No,Yes,No,Yes,Coastal,https://www.tripadvisor.com/Attraction_Review-g1597036-d627649-Reviews-Railay_Beach-Railay_Beach_Krabi_Town_Krabi_Province.html
168,Wat Arun,Bangkok,Thailand,High,No,Low,High,Yes,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g293916-d317504-Reviews-Temple_Of_Dawn_Wat_Arun-Bangkok.html
169,Floating Markets,Damnoen Saduak,Thailand,Medium,No,Low,Medium,Yes,No,No,No,No,Commercial,https://www.tripadvisor.com/Travel-g293915-c219777/Thailand:Floating.Markets.In.Thailand.html
170,Elephant Nature Park,Chiang Mai,Thailand,Low,No,Low,Medium,No,No,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g293917-d601884-Reviews-Elephant_Nature_Park-Chiang_Mai.html
171,Wat Phra That Doi Kham,Chiang Mai,Thailand,Medium,Yes,Low,Medium,No,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g293917-d1754563-Reviews-Wat_Phra_That_Doi_Kham_Temple_of_the_Golden_Mountain-Chiang_Mai.html
172,Koh Phi Phi Viewpoint,Krabi,Thailand,Low,Yes,Medium,Medium,Yes,No,Yes,No,No,Coastal,https://www.tripadvisor.com/Attraction_Review-g303908-d4870312-Reviews-Koh_Phi_Phi_Viewpoint-Ko_Phi_Phi_Don_Ao_Nang_Krabi_Town_Krabi_Province.html
173,Pattaya Floating Market,Pattaya,Thailand,Low,No,Low,High,Yes,No,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g293919-d1438832-Reviews-Pattaya_Floating_Market-Pattaya_Chonburi_Province.html
174,Phra Nang Cave Beach,Krabi,Thailand,Low,Yes,Low,Medium,Yes,No,No,No,No,Coastal,https://www.tripadvisor.com/Attraction_Review-g1507054-d1426253-Reviews-PhraNang_Cave_Beach-Ao_Nang_Krabi_Town_Krabi_Province.html
175,Wat Rong Khun (White Temple),Chiang Rai,Thailand,Medium,No,Low,Medium,No,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g297920-d1368436-Reviews-Wat_Rong_Khun-Chiang_Rai_Chiang_Rai_Province.html
176,Koh Chang,Trat,Thailand,Low,Yes,Medium,Medium,Yes,Yes,Yes,Yes,Yes,Coastal,https://www.tripadvisor.com/Tourism-g580110-Ko_Chang_Trat_Province-Vacations.html
177,Damnoen Saduak Floating Market,Ratchaburi,Thailand,Medium,No,Low,Medium,No,No,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g303902-d317729-Reviews-Damnoen_Saduak_Floating_Market-Damnoen_Saduak_Ratchaburi_Province.html
178,Wat Mahathat,Ayutthaya,Thailand,High,No,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g303897-d1235228-Reviews-Wat_Mahathat-Ayutthaya_Ayutthaya_Province.html
179,Koh Samui,Surat Thani,Thailand,Low,Yes,Medium,High,Yes,No,Yes,No,Yes,Coastal,https://www.tripadvisor.com/Tourism-g293918-Ko_Samui_Surat_Thani_Province-Vacations.html
180,Koh Tao,Surat Thani,Thailand,Low,Yes,Medium,High,Yes,Yes,Yes,Yes,Yes,Coastal,https://www.tripadvisor.com/Tourism-g303910-Koh_Tao_Surat_Thani_Province-Vacations.html
181,Khao Yai National Park,Nakhon Ratchasima,Thailand,Low,Yes,Medium,Medium,No,Yes,Yes,Yes,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g2237147-d454888-Reviews-Khao_Yai_National_Park-Pak_Phli_Nakhon_Nayok_Province.html
182,Phuket Big Buddha,Phuket,Thailand,Medium,No,Low,High,No,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g1389361-d2433844-Reviews-Big_Buddha_Phuket-Chalong_Phuket_Town_Phuket.html
183,Phu Chi Fa,Chiang Rai,Thailand,Low,Yes,Low,Medium,No,No,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g2237308-d547605-Reviews-Phu_Chi_Fa_Forest_Park-Thoeng_Chiang_Rai_Province.html
184,Wat Saket (Golden Mount),Bangkok,Thailand,Medium,No,Low,Medium,Yes,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g293916-d456261-Reviews-The_Golden_Mount_Wat_Saket-Bangkok.html
185,Phuket Old Town,Phuket,Thailand,Medium,No,Low,High,Yes,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g2315818-d5995325-Reviews-Old_Phuket_Town-Talat_Yai_Phuket_Town_Phuket.html
186,Huay Mae Khamin Waterfall,Kanchanaburi,Thailand,Low,Yes,High,Medium,No,No,No,No,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g2237739-d3653858-Reviews-Huay_Mae_Khamin_Waterfalls-Si_Sawat_Kanchanaburi_Province.html
187,Tiger Cave Temple,Krabi,Thailand,Medium,Yes,Medium,Medium,No,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g297927-d456551-Reviews-Tiger_Cave_Temple_Wat_Tham_Suea-Krabi_Town_Krabi_Province.html
188,Sanctuary of Truth,Pattaya,Thailand,Low,No,Low,Medium,No,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g293919-d456350-Reviews-The_Sanctuary_Of_Truth-Pattaya_Chonburi_Province.html
189,Wat Chalong,Phuket,Thailand,Medium,No,Low,High,No,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g1389361-d553516-Reviews-Chaithararam_Temple_Wat_Chalong-Chalong_Phuket_Town_Phuket.html
190,Khao Sok National Park,Surat Thani,Thailand,Low,Yes,High,Medium,No,Yes,Yes,Yes,No,Natural Parks and Protected Areas,https://www.tripadvisor.com/Attraction_Review-g297917-d455332-Reviews-Khao_Sok_National_Park-Surat_Thani_Surat_Thani_Province.html
191,Wat Chedi Luang,Chiang Mai,Thailand,High,No,Low,Medium,No,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g293917-d447585-Reviews-Wat_Chedi_Luang_Varavihara-Chiang_Mai.html
192,Golden Triangle,Chiang Rai,Thailand,High,Yes,Medium,Medium,No,No,Yes,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g317131-d456346-Reviews-Golden_Triangle-Chiang_Saen_Chiang_Rai_Province.html
193,Hua Hin Night Market,Hua Hin,Thailand,Low,No,Low,Medium,Yes,No,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g297922-d6614342-Reviews-Hua_Hin_Night_Market-Hua_Hin_Prachuap_Khiri_Khan_Province.html
194,Wat Suthat,Bangkok,Thailand,High,No,Low,High,No,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g293916-d456262-Reviews-Wat_Suthat-Bangkok.html
195,Sukhothai Historical Park,Sukhothai,Thailand,High,No,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g303921-d455348-Reviews-Sukhothai_Historical_Park-Sukhothai_Sukhothai_Province.html
196,Koh Mak,Trat,Thailand,Low,Yes,Medium,Medium,No,No,No,No,No,Coastal,https://www.tripadvisor.com/Tourism-g952017-Ko_Mak_Trat_Province-Vacations.html
197,Phi Phi Islands,Krabi,Thailand,Low,Yes,High,High,Yes,Yes,Yes,Yes,Yes,Coastal,https://www.tripadvisor.com/Tourism-g303908-Ko_Phi_Phi_Don_Ao_Nang_Krabi_Town_Krabi_Province-Vacations.html
198,Wat Benchamabophit,Bangkok,Thailand,Medium,No,Low,Medium,No,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g293916-d311042-Reviews-Wat_Benchamabophit_The_Marble_Temple-Bangkok.html
199,Nong Nooch Tropical Garden,Pattaya,Thailand,Low,No,Low,High,No,No,No,No,No,Entertainment,https://www.tripadvisor.com/Attraction_Review-g2005201-d669526-Reviews-Nong_Nooch_Tropical_Botanical_Garden-Na_Chom_Thian_Sattahip_Chonburi_Province.html
200,Koh Kood,Trat,Thailand,Low,Yes,Low,Medium,No,No,Yes,Yes,No,Coastal,https://www.tripadvisor.com/Tourism-g1152744-Ko_Kut_Trat_Province-Vacations.html
201,Chao Phraya River,Bangkok,Thailand,High,No,Medium,High,No,No,Yes,Yes,No,Coastal,https://www.tripadvisor.com/Attraction_Review-g293916-d450968-Reviews-Chao_Phraya_River-Bangkok.html
202,Golden Buddha (Wat Traimit),Bangkok,Thailand,High,No,Low,High,No,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g293916-d311046-Reviews-Temple_of_the_Golden_Buddha_Wat_Traimit-Bangkok.html
203,Prasat Hin Phimai,Nakhon Ratchasima,Thailand,High,No,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/ShowUserReviews-g469414-d456512-r305872412-Phimai_Historical_Park-Nakhon_Ratchasima_Nakhon_Ratchasima_Province.html
204,Koh Lanta,Krabi,Thailand,Low,Yes,Medium,High,Yes,No,Yes,No,Yes,Coastal,https://www.tripadvisor.com/Tourism-g303905-Ko_Lanta_Krabi_Province-Vacations.html
205,Chiang Rai Night Bazaar,Chiang Rai,Thailand,Low,No,Low,Medium,Yes,No,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g297920-d556615-Reviews-Chiang_Rai_Night_Bazaar-Chiang_Rai_Chiang_Rai_Province.html
206,Ancient City (Muang Boran),Samut Prakan,Thailand,Medium,No,Low,High,No,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g1570011-d447399-Reviews-Ancient_City_Mueang_Boran-Samut_Prakan_Samut_Prakan_Province.html
207,Ayutthaya Floating Market,Ayutthaya,Thailand,Medium,No,Low,Medium,Yes,No,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g303897-d1729301-Reviews-Ayothaya_Floating_Market_Elephant_Village-Ayutthaya_Ayutthaya_Province.html
208,Bangla Road,Phuket,Thailand,Low,No,Low,High,Yes,High,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g297930-d1866109-Reviews-Bangla_Road-Patong_Kathu_Phuket.html
209,Amphawa Floating Market,Samut Songkhram,Thailand,Medium,No,Low,High,Yes,No,No,No,No,Commercial,https://www.tripadvisor.com/Attraction_Review-g1028071-d1382813-Reviews-Amphawa_Floating_Market-Amphawa_Samut_Songkhram_Province.html
210,Wat Phra That Doi Suthep,Chiang Mai,Thailand,High,Yes,Low,Medium,No,No,No,No,No,Cultural,https://www.tripadvisor.com/Attraction_Review-g8286767-d456320-Reviews-Wat_Phra_That_Doi_Suthep-Doi_Suthep.html
211,Coral Island (Koh Hae),Phuket,Thailand,Low,Yes,Medium,High,No,Low,Yes,No,Yes,Coastal,https://www.tripadvisor.com/Attraction_Review-g293920-d455888-Reviews-Coral_Island-Phuket.html
212,Wat Mahathat (Sukhothai),Sukhothai,Thailand,High,No,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g303921-d447465-Reviews-Wat_Mahathat-Sukhothai_Sukhothai_Province.html
213,Koh Nang Yuan,Surat Thani,Thailand,Low,Yes,Low,Medium,Yes,No,No,No,No,Coastal,https://www.tripadvisor.com/Attraction_Review-g303910-d553989-Reviews-Koh_Nang_Yuan-Koh_Tao_Surat_Thani_Province.html
214,Hellfire Pass Memorial Museum,Kanchanaburi,Thailand,High,No,Low,Medium,No,No,No,No,No,Historical,https://www.tripadvisor.com/Attraction_Review-g17812447-d523723-Reviews-Hellfire_Pass_Interpretive_Centre_and_Memorial_Walking_Trail-Tha_Sao_Sai_Yok_Kan.html
215,Khao Kheow Open Zoo,Chonburi,Thailand,Low,No,Low,High,No,No,No,Yes,No,Entertainment,https://www.tripadvisor.com/Attraction_Review-g1602205-d669532-Reviews-Khao_Kheow_Open_Zoo-Si_Racha_Chonburi_Province.html
